,features,feature_sums,VIF
10608,GG_GALSO_G01_XDC,3667760496390968.5,9007199254740992.0
10548,GG_GAAF_G01_XDC,4036196377400297.0,9007199254740992.0
4009,GAANNL_G14_XDC_G61_S1311_XDC_W0|S1_N211N,2040669262956036.0,9007199254740992.0
10540,GG_GAAFD_G01_XDC,3976910925574562.5,9007199254740992.0
3878,GAAF_G14_XDC_G62_S13_XDC_W0|S1_F,4735500379952014.0,9007199254740992.0
2648,FS_ODX_L_XDC,1.4430632902871264e+16,9007199254740992.0
7717,GALFF_G14_GDP_PT_G63_S1321_XDC_R_B1GQ_W1|S1_F7,0.2118,9007199254740992.0
12440,IA_XDC_FS_ODX_I,1.6249054258794846e+16,9007199254740992.0
4109,GAAN_G14_XDC_G61|NN_S1321_XDC,3863916274136604.5,9007199254740992.0
12764,NFID_R_XDC,4202549270986328.5,9007199254740992.0
7725,GALFF_G14_XDC_G63_S1321_XDC_W1|S1_F7,59905278251.7482,9007199254740992.0
1905,FSDERA_XDC,1.4795383677686464e+16,4503599627370496.0
3165,FS_OFM_MMF_A_FSTFMMF_XDC,48997194321321.45,4503599627370496.0
3162,FS_OFM_MMF_A_FSGDPMMF_XDC,48997194321321.45,4503599627370496.0
2438,FS_ODX_A_XDC,1.5695994274465418e+16,4503599627370496.0
11698,GRTGSUM_G14_XDC_W0|S1|G11451_S1313_XDC,48900212983829.43,4503599627370496.0
2877,FS_OFM_IPF_LIC_A_XDC,485267061741379.9,4503599627370496.0
10573,GG_GADANS_T_G01_CA_XDC,56801922399620.766,4503599627370496.0
10575,GG_GADAN_T_G01_CA_XDC,472195432806947.94,4503599627370496.0
4097,GAAN_G14_XDC_G61_S1311_XDC_W0|S1_NN,3938766055120070.0,4503599627370496.0
3167,FS_OFM_MMF_A_XDC,48997194321321.45,4503599627370496.0
4106,GAAN_G14_XDC_G61|NN_S1312_XDC,778213598072494.6,4503599627370496.0
5959,GADLAE_V_G14_XDC_G53_S13112_XDC_W0|S1_F5,367333333333.3333,4503599627370496.0
9019,GEG_GG_G14_XDC_W2|S13|G26_S1313_XDC,66027875410040.68,4503599627370496.0
3917,GAANFM_G14_XDC_G61_S1321_XDC_W0|S1_N113N,408960004457385.94,4503599627370496.0
450,BCG_GALO_G01_XDC,370788087962700.94,4503599627370496.0
12446,IA_XDC_FS_ODX_IGDV,368181000000.0,4503599627370496.0
2729,FS_OFM_IPF_IC_AF_XDC,558631329588727.94,4503599627370496.0
