"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country Code","357",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country Full Name","Bonaire, Saint Eustatius and Saba",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country ISO 2 Code","BQ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country ISO 3 Code","BES",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country Name","Bonaire, St. Eustatius and Saba",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country SDMX Code","BQ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country SDMX Name","Bonaire, Saint Eustatius and Saba",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bonaire, St. Eustatius and Saba","357","","","","","Country Short Name","Bonaire StEusta.Saba",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country Code","963",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country Full Name","Bosnia and Herzegovina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country ISO 2 Code","BA",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country ISO 3 Code","BIH",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country Name","Bosnia and Herzegovina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country SDMX Code","BA",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country SDMX Name","Bosnia and Herzegovina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bosnia and Herzegovina","963","","","","","Country Short Name","Bosnia and Herzegovina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country Code","616",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country Full Name","Botswana",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country ISO 2 Code","BW",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country ISO 3 Code","BWA",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country Name","Botswana",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country SDMX Code","BW",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country SDMX Name","Botswana",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Botswana","616","","","","","Country Short Name","Botswana",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bouvet Island","871","","","","","Country Code","871",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bouvet Island","871","","","","","Country Full Name","Bouvet Island",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bouvet Island","871","","","","","Country ISO 2 Code","BV",""
