Country Name,Country Code,Indicator Name,Indicator Code,Counterpart Country Name,Counterpart Country Code,Attribute,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 20
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Guatemala,258,Value,,,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,"Korea, Republic of",542,Value,0,0,0,0,0,0,0,0,0,0,0,0,80585.3809668903,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,India,534,Value,,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Hungary,944,Value,0,0,0,0,0,0,0,0,,,,,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Kazakhstan,916,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Lithuania,946,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Malta,181,Value,,0,0,0,,,,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,North Macedonia ,962,Value,17601.810876468,0,0,58147.2774,27926.775,26751.9798102863,50982.9264950048,84287.9088568009,90981.2966,232008.648281668,2432945.21815846,2676243,2478162,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Norway,142,Value,,,,0,,,,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Netherlands,138,Value,,25387.8,,,,,,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,New Zealand,196,Value,0,,,,,,,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Mexico,273,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Mozambique,688,Value,,,0,0,0,0,0,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Philippines,566,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Peru,293,Value,0,0,,,,,,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Poland,964,Value,0,0,0,0,0,0,0,0,0,0,0,26607.0668369519,24630.5418719212,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Russian Federation,922,Value,,,,0,0,0,0,0,0,0,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Slovenia,961,Value,1878989.92239,2986176.866274,8995597.195506,8796383.19774,13217294.4,5447666.7,1432729.2,1829917.6,3577511.9,3197985,0,14725.2,2338819,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Slovak Republic,936,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,South Africa,199,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Sweden,144,Value,,,,,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Spain,184,Value,,0,0,0,,,,,,,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,"Türkiye, Republic of",186,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,Thailand,578,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,United Kingdom,112,Value,,,,,,,,,,10156400,,,,
Albania,914,"Inward Debt Instruments Assets Positions (Gross), Derived, US Dollars",IIWDA_DV_BP6_USD,East Asia,510,Value,0,0,0,0,0,0,0,0,0,0,0,0,80585.3809668903,
